序号	所属市	区县名称	"行政区域土地面积
(平方公里)（中国区域统计年鉴）"	市辖区与非市辖区面积（中国区域统计年鉴）	市级土地面积(平方公里)（中国区域统计年鉴）	市级土地面积（中国城市统计年鉴）	年末常住人口(万人) (湖南统计年鉴)	年末常住人口(万人) (湖南统计年鉴)	"年底总人口
(万人)（中国区域统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	"地区生产总值
(万元)（湖南省统计年鉴）"	用于计算人均GDP的人口数（万人）	用于计算人均GDP的人口数（万人）	人均GDP（湖南省统计年鉴)	人均GDP（湖南省统计年鉴)	地区生产总值(万元)（中国区域统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（湖南省统计年鉴）	第一产业（中国区域统计年鉴）	第二产业（湖南统计年鉴）	第二产业（湖南统计年鉴）	第二产业（中国区域统计年鉴）	工业（湖南统计年鉴）	工业（湖南统计年鉴）	工业（中国区域统计年鉴）	第三产业（湖南统计年鉴）	第三产业（湖南统计年鉴）	第三产业（中国区域统计年鉴 	人均GDP（湖南省统计年鉴)	人均地区生产总值(元/人)（中国区域统计年鉴）
1	长沙市	芙蓉区	564 	564 	11823	11816	52.40 	309.20 		5850557 	26277475 	49.2215 	290.9740 	90309 	118862 		15927 	253492 		1013920 	10911387 		717604 	8578911 		4820710 	15112596 		118862 	
2	长沙市	天心区					47.52 			4006159 		46.3982 			86343 		12985 			1635700 			1036835 			2357474 			86343 	
3	长沙市	岳麓区					80.17 			4210947 		74.7981 			56298 		158657 			2260590 			1868594 			1791700 			56298 	
4	长沙市	开福区					56.71 			3933918 		52.5887 			74805 		39659 			991297 			546314 			2902962 			74805 	
5	长沙市	雨花区					72.40 			8275894 		67.9677 			121762 		26264 			5009880 			4409564 			3239750 			121762 	
6	长沙市	长沙县	1997	11259 			97.94 	97.94 	79.09	6301104 	6301104 	89.2457 	89.2457 	70604 	70604 	6301104	421957 	421957 	421957	4469445 	4469445 	4469445	3867034 	3867034 	3867034	1409703 	1409703 	1409703	70604 	70604
7	长沙市	望城县	1346				52.37 	52.37 	54.59	2429695 	2429695 	52.2845 	52.2845 	46471 	46471 	2429695	212258 	212258 	212258	1726508 	1726508 	1726508	1314506 	1314506 	1314506	490930 	490930 	490930	46471 	46471
8	长沙市	宁乡县	2908				116.61 	116.61 	137.07	4895815 	4895815 	121.1728 	121.1728 	40404 	40404 	4895815	615447 	615447 	615447	3219898 	3219898 	3219898	2824569 	2824569 	2824569	1060471 	1060471 	1060471	40404 	40404
9	长沙市	浏阳市	5008				127.95 	127.95 	139.92	5567848 	5567848 	130.6414 	130.6414 	42619 	42619 	5567848	516927 	516927 	516927	3790445 	3790445 	3790445	3369157 	3369157 	3369157	1260476 	1260476 	1260476	42619 	42619
10	株洲市	荷塘区	517 	517 	11275	11247	30.90 	105.51 		1239144 	6480199 	29.5499 	101.6000 	63781 	41934 		25606 	107026 		778249 	4150936 		731137 	3753567 		435289 	2222237 		41934 	
11	株洲市	芦淞区					24.75 			1580062 		24.5401 			64387 		15471 			680270 			432751 			884321 			64387 	
12	株洲市	石峰区					28.32 			2333261 		28.7401 			81185 		34417 			1992961 			1945781 			305883 			81185 	
13	株洲市	天元区					21.54 			1327732 		18.7700 			70737 		31532 			699456 			643898 			596744 			70737 	
